Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,log_Order,log_Property Id,log_DOF Gross Floor Area,log_Largest Property Use Type - Gross Floor Area (ft²),log_Year Built,log_Number of Buildings - Self-reported,log_Occupancy,log_Site EUI (kBtu/ft²),log_Weather Normalized Site EUI (kBtu/ft²),log_Weather Normalized Site Electricity Intensity (kWh/ft²),log_Weather Normalized Site Natural Gas Intensity (therms/ft²),log_Weather Normalized Source EUI (kBtu/ft²),log_Natural Gas Use (kBtu),log_Weather Normalized Site Natural Gas Use (therms),log_Electricity Use - Grid Purchase (kBtu),log_Weather Normalized Site Electricity (kWh),log_Total GHG Emissions (Metric Tons CO2e),log_Direct GHG Emissions (Metric Tons CO2e),log_Indirect GHG Emissions (Metric Tons CO2e),log_Property GFA - Self-Reported (ft²),log_Water Intensity (All Water Sources) (gal/ft²),log_Source EUI (kBtu/ft²),log_Latitude,log_Community Board,log_Council District,log_Census Tract,Borough_Bronx,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Office,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility,score
20,2777309,,1907,7,100,120.0,8.7,0.9,193.6,52441239.4,556997.6,17958140.6,5217062.4,4554.7,2888.2,1666.5,598000.0,,188.7,,,,,,2.995732273553991,14.836993031254684,,12.685407602204794,7.553286605600419,1.9459101490553132,4.605170185988092,4.787491742782046,4.829912458665998,2.163323025660538,-0.10536051565782628,5.265794174842477,17.775203851210534,13.23031621010301,16.703554085411906,15.467445042830066,8.423914945834632,7.968388749692465,7.418480897747794,13.301346032932768,,5.240158452374504,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,2809896,,1964,2,100,115.9,0.0,1.2,124.7,61638997.2,631631.4,5527.4,1620.0,3308.4,3307.8,0.5,535632.0,16.77,121.7,,,,,,3.295836866004329,14.84865802994886,,13.191202637093593,7.582738488914411,0.6931471805599453,4.605170185988092,4.752727750345706,4.777441406928545,-inf,0.1823215567939546,4.825910852685991,17.936805299627135,13.356061275137373,8.617472821206576,7.3901814282264295,8.104219967817752,8.104038594823693,-0.6931471805599453,13.191202637093593,2.8195915758351173,4.801558999993482,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
28,4954491,256528.0,1964,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256528.0,,0.0,40.816968,-73.960754,9.0,7.0,211.0,3.332204510175204,15.415804995949014,12.454993099428618,12.454993099428618,7.582738488914411,0.0,4.605170185988092,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,12.454993099428618,,-inf,3.709097877307961,2.1972245773362196,1.9459101490553132,5.351858133476067,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,4954504,339104.0,1964,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339104.0,,0.0,40.817221,-73.960776,9.0,7.0,211.0,3.367295829986474,15.415807619827621,12.734062123974562,12.734062123974562,7.582738488914411,0.0,4.605170185988092,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,12.734062123974562,,-inf,3.7091040756913367,2.1972245773362196,1.9459101490553132,5.351858133476067,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,2825730,54725.0,1971,2,100,26.9,7.9,0.0,84.5,100.0,1.0,5357112.7,1570079.7,497.1,0.0,497.1,199058.0,5.07,84.5,40.729201,-73.994155,2.0,1.0,57.0,3.4011973816621555,14.854277296260966,10.910075922391064,12.201352020893657,7.58629630715272,0.6931471805599453,4.605170185988092,3.292126286607793,3.292126286607793,2.066862759472976,-inf,4.436751534363128,4.605170185988092,0.0,15.493935712536148,14.266636940367237,6.208791213100627,-inf,6.208791213100627,12.201351518527638,1.623340817603092,4.436751534363128,3.706945304477972,0.6931471805599453,0.0,4.04305126783455,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,3612678,,1897,56,100,175.9,16.2,1.2,300.4,770027489.0,7700274.9,353396020.5,103574436.6,73694.9,40899.9,32795.0,6385382.0,,300.4,,,,,,3.6375861597263857,15.099959883545335,,15.669678468820464,7.5480289699350145,4.02535169073515,4.605170185988092,5.169915651743512,5.169915651743512,2.785011242238338,0.1823215567939546,5.705114919889979,20.461936772174774,15.856766587485337,19.683099857175264,18.455801106376377,11.207688876325776,10.618882897040129,10.398031343727835,15.669521873380392,,5.705114919889979,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,2747235,1368870.0,1910,1,100,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,111632.0,,0.0,40.809752,-73.960217,9.0,7.0,203.0,4.2626798770413155,14.826105509288805,14.129496139936927,11.622963026179018,7.554858521040676,0.0,4.605170185988092,-inf,-inf,-inf,,-inf,,,-inf,-inf,-inf,-inf,-inf,11.622963026179018,,-inf,3.708921072457324,2.1972245773362196,1.9459101490553132,5.313205979041787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,3105049,1368870.0,1950,1,100,0.3,,0.0,0.3,87900.0,879.0,,,4.7,4.7,0.0,287737.0,,0.3,40.809752,-73.960217,9.0,7.0,203.0,4.382026634673881,14.948540054223587,14.129496139936927,12.569802147457573,7.575584651557793,0.0,4.605170185988092,-1.2039728043259361,-1.2039728043259361,,-inf,-1.2039728043259361,11.383955083673268,6.778784897685177,,,1.547562508716013,1.547562508716013,-inf,12.569802147457573,,-1.2039728043259361,3.708921072457324,2.1972245773362196,1.9459101490553132,5.313205979041787,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,3614737,,1914,12,100,111.5,24.0,0.3,287.3,82040481.3,820404.8,241907518.0,69844385.5,26806.5,4357.6,22449.0,2904696.0,,291.2,,,,,,4.553876891600541,15.100529658507947,,14.881839295632183,7.5569505720129,2.4849066497880004,4.605170185988092,4.7140245909001735,4.703203926259457,3.1780538303479458,-1.2039728043259361,5.660526965985244,18.22272335780166,13.617553155967732,19.30406605405556,18.061780261052252,10.196399674404962,8.379676726069464,10.019001348748468,14.881839295632183,,5.674010316322531,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,3614751,,1905,4,100,92.4,11.2,0.0,184.4,2679329.0,30362.3,36618926.7,10630818.5,6780.5,142.3,6638.2,953183.0,30.2,185.2,,,,,,4.672828834461906,15.100533531534639,,13.767562189385494,7.552237287560802,1.3862943611198906,4.605170185988092,4.526126978647638,4.526126978647638,2.4159137783010487,-inf,5.2171073111224935,14.801076948004125,10.320956986215863,17.416075787660418,16.17926774641312,8.821806124528,4.957937505095806,8.80059612138313,13.767562189385494,3.407841924380824,5.221436322212079,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
